Site,observers,TF,MP,GC,RPM,LG
Rancho Norte T1,observer1,8,2,0,10,0
Rancho Norte T1,observer2,10,2,0,10,0
Rancho Norte T1,3D,8,0,0,10,0
Farol T1,observer1,6,6,0,8,2
Farol T1,observer2,6,8,0,10,0
Farol T1,3D,6,0,0,10,0
Farol T2,observer1,6,6,0,6,0
Farol T2,observer2,6,8,0,8,0
Farol T2,3D,8,0,0,10,0
Engenho T1,observer1,8,6,4,10,6
Engenho T1,observer2,6,4,2,10,0
Engenho T1,3D,10,0,0,6,0
Engenho T2,observer1,6,6,4,8,4
Engenho T2,observer2,8,2,0,10,0
Engenho T2,3D,6,8,0,8,0
Rancho Norte T2,observer1,8,6,0,10,0
Rancho Norte T2,observer2,6,4,0,8,2
Rancho Norte T2,3D,8,2,0,10,0
Baptismo T1,observer1,2,2,0,4,10
Baptismo T1,observer2,2,0,0,4,10
Baptismo T1,3D,4,0,0,6,10
Baptismo T2,observer1,6,8,6,6,0
Baptismo T2,observer2,6,10,6,6,0
Baptismo T2,3D,2,8,6,6,0